Longitude,Latitude,PGA (g) - %2,PGA (g) - %10,PGA (g) - %50,PGA (g) - %68,SS (g) - %2,SS (g) - %10,SS (g) - %50,SS (g) - %68,S1 (g) - %2,S1 (g) - %10,S1 (g) - %50,S1 (g) - %68
27.55,39.65,0.774,0.397,0.143,0.102,1.877,0.933,0.329,0.233,0.48,0.234,0.091,0.067
27.55,39.75,0.663,0.359,0.141,0.101,1.637,0.857,0.325,0.231,0.42,0.219,0.09,0.066
27.55,39.85,0.715,0.383,0.148,0.104,1.737,0.904,0.338,0.237,0.437,0.224,0.092,0.067
27.55,39.95,0.731,0.395,0.149,0.104,1.784,0.932,0.342,0.237,0.454,0.233,0.093,0.068
27.55,40.05,0.868,0.444,0.153,0.105,2.121,1.052,0.352,0.239,0.558,0.264,0.097,0.069
27.55,40.15,0.866,0.461,0.157,0.106,2.145,1.103,0.362,0.243,0.554,0.277,0.1,0.07
27.55,40.25,0.843,0.447,0.156,0.107,2.08,1.066,0.36,0.246,0.539,0.272,0.101,0.071
27.55,40.35,0.757,0.398,0.151,0.107,1.843,0.94,0.349,0.245,0.477,0.25,0.101,0.072
27.55,40.45,0.665,0.358,0.151,0.109,1.63,0.861,0.349,0.25,0.455,0.243,0.103,0.074
27.55,40.55,0.698,0.386,0.166,0.119,1.71,0.929,0.395,0.284,0.494,0.265,0.11,0.077
27.55,40.65,0.786,0.46,0.202,0.14,1.966,1.129,0.464,0.32,0.574,0.315,0.123,0.082
27.55,40.75,1.155,0.682,0.251,0.154,2.939,1.671,0.589,0.356,0.806,0.443,0.148,0.087
27.55,40.85,1.155,0.682,0.25,0.15,2.939,1.671,0.585,0.343,0.806,0.443,0.146,0.084
27.55,40.95,0.778,0.451,0.185,0.12,1.96,1.112,0.432,0.283,0.553,0.303,0.114,0.074
27.55,41.05,0.71,0.378,0.145,0.092,1.765,0.914,0.333,0.213,0.47,0.249,0.096,0.063
27.55,41.15,0.689,0.342,0.117,0.075,1.707,0.827,0.278,0.17,0.44,0.223,0.084,0.056
27.55,41.25,0.622,0.302,0.102,0.064,1.544,0.723,0.233,0.147,0.398,0.2,0.076,0.052
27.55,41.35,0.547,0.259,0.087,0.057,1.341,0.618,0.204,0.131,0.353,0.179,0.07,0.047
27.55,41.45,0.479,0.224,0.078,0.054,1.174,0.532,0.179,0.121,0.317,0.162,0.064,0.044
27.55,41.55,0.432,0.2,0.071,0.051,1.054,0.47,0.162,0.113,0.289,0.149,0.06,0.042
27.55,41.65,0.399,0.181,0.065,0.047,0.966,0.426,0.149,0.107,0.265,0.138,0.057,0.04
27.55,41.75,0.372,0.167,0.059,0.043,0.902,0.394,0.135,0.098,0.248,0.129,0.054,0.039
27.55,41.85,0.355,0.157,0.055,0.04,0.86,0.369,0.123,0.089,0.235,0.122,0.05,0.037
27.55,41.95,0.344,0.15,0.051,0.037,0.832,0.35,0.114,0.082,0.225,0.115,0.047,0.034
27.55,42.05,0.334,0.144,0.047,0.034,0.807,0.335,0.106,0.077,0.215,0.11,0.044,0.032
27.55,42.15,0.323,0.137,0.044,0.032,0.78,0.319,0.099,0.071,0.205,0.104,0.042,0.03
27.55,42.25,0.289,0.125,0.041,0.03,0.698,0.292,0.092,0.066,0.194,0.099,0.039,0.029
27.55,42.35,0.279,0.119,0.04,0.028,0.67,0.279,0.088,0.062,0.189,0.095,0.038,0.027
27.55,42.45,0.286,0.121,0.039,0.028,0.685,0.282,0.087,0.061,0.189,0.093,0.035,0.025
27.55,42.55,0.298,0.126,0.039,0.027,0.715,0.295,0.088,0.06,0.192,0.091,0.033,0.023
27.55,42.65,0.316,0.135,0.04,0.027,0.764,0.314,0.09,0.06,0.198,0.088,0.029,0.02
27.55,42.75,0.35,0.147,0.041,0.028,0.848,0.341,0.094,0.062,0.214,0.091,0.028,0.019
27.55,42.85,0.389,0.156,0.043,0.028,0.934,0.365,0.099,0.064,0.231,0.094,0.028,0.019
27.55,42.95,0.382,0.164,0.046,0.03,0.921,0.385,0.105,0.068,0.226,0.095,0.028,0.019
27.65,35.75,0.864,0.498,0.227,0.17,2.014,1.126,0.493,0.374,0.559,0.301,0.123,0.091
27.65,35.85,0.842,0.488,0.224,0.168,1.971,1.11,0.487,0.37,0.54,0.295,0.122,0.09
27.65,35.95,0.812,0.47,0.217,0.164,1.901,1.071,0.472,0.358,0.516,0.286,0.119,0.088
27.65,36.05,0.792,0.455,0.21,0.158,1.853,1.034,0.456,0.345,0.498,0.276,0.116,0.086
27.65,36.15,0.772,0.439,0.202,0.153,1.802,0.996,0.439,0.332,0.484,0.266,0.113,0.084
27.65,36.25,0.772,0.432,0.193,0.148,1.791,0.977,0.425,0.32,0.473,0.258,0.11,0.082
27.65,36.35,0.76,0.421,0.185,0.143,1.765,0.952,0.413,0.311,0.467,0.252,0.108,0.081
27.65,36.45,0.762,0.419,0.182,0.14,1.778,0.95,0.41,0.309,0.468,0.25,0.106,0.08
27.65,36.55,0.78,0.427,0.185,0.143,1.836,0.978,0.417,0.315,0.478,0.253,0.107,0.08
27.65,36.65,0.813,0.447,0.193,0.147,1.941,1.037,0.433,0.325,0.496,0.259,0.108,0.081
27.65,36.75,0.836,0.46,0.197,0.149,2.021,1.082,0.444,0.332,0.514,0.266,0.109,0.081
27.65,36.85,0.849,0.469,0.2,0.15,2.082,1.114,0.45,0.334,0.523,0.271,0.109,0.081
27.65,36.95,0.895,0.486,0.195,0.146,2.198,1.147,0.442,0.325,0.551,0.279,0.108,0.08
27.65,37.05,0.755,0.417,0.177,0.133,1.834,0.985,0.41,0.304,0.461,0.243,0.101,0.076
27.65,37.15,0.755,0.423,0.175,0.126,1.81,0.994,0.405,0.292,0.418,0.225,0.097,0.074
27.65,37.25,0.702,0.398,0.164,0.118,1.69,0.93,0.379,0.272,0.385,0.212,0.092,0.07
27.65,37.35,0.681,0.372,0.153,0.111,1.63,0.87,0.349,0.253,0.382,0.205,0.088,0.067
27.65,37.45,0.615,0.34,0.146,0.108,1.484,0.805,0.332,0.245,0.355,0.197,0.087,0.066
27.65,37.55,0.619,0.34,0.148,0.11,1.515,0.814,0.34,0.254,0.374,0.204,0.089,0.068
27.65,37.65,0.683,0.378,0.162,0.121,1.707,0.916,0.383,0.288,0.421,0.224,0.095,0.073
27.65,37.75,0.811,0.452,0.188,0.139,2.084,1.124,0.443,0.322,0.496,0.262,0.106,0.078
27.65,37.85,1.045,0.566,0.204,0.145,2.638,1.369,0.475,0.334,0.66,0.327,0.112,0.08
27.65,37.95,0.787,0.433,0.175,0.128,2,1.069,0.417,0.303,0.494,0.258,0.103,0.076
27.65,38.05,0.63,0.34,0.146,0.109,1.578,0.831,0.341,0.255,0.403,0.213,0.091,0.069
27.65,38.15,0.575,0.31,0.132,0.101,1.424,0.754,0.312,0.233,0.372,0.2,0.086,0.066
27.65,38.25,0.619,0.333,0.138,0.103,1.553,0.815,0.324,0.238,0.403,0.211,0.089,0.067
27.65,38.35,0.811,0.427,0.158,0.113,2.04,1.042,0.375,0.267,0.512,0.255,0.097,0.071
27.65,38.45,0.881,0.476,0.173,0.121,2.249,1.17,0.412,0.288,0.58,0.291,0.104,0.075
27.65,38.55,0.91,0.481,0.173,0.122,2.3,1.177,0.413,0.291,0.585,0.289,0.104,0.075
27.65,38.65,0.791,0.429,0.167,0.12,2.008,1.06,0.403,0.288,0.506,0.257,0.1,0.074
27.65,38.75,0.738,0.401,0.161,0.117,1.854,0.981,0.388,0.284,0.474,0.24,0.096,0.072
27.65,38.85,0.748,0.402,0.16,0.116,1.865,0.977,0.383,0.28,0.476,0.238,0.095,0.071
27.65,38.95,0.789,0.419,0.162,0.117,1.961,1.016,0.389,0.283,0.495,0.244,0.095,0.071
27.65,39.05,0.821,0.435,0.166,0.12,2.043,1.056,0.397,0.287,0.519,0.253,0.097,0.072
27.65,39.15,0.802,0.428,0.166,0.12,1.991,1.038,0.397,0.288,0.5,0.246,0.096,0.072
27.65,39.25,0.697,0.385,0.16,0.117,1.732,0.927,0.378,0.281,0.42,0.22,0.092,0.07
27.65,39.35,0.707,0.387,0.16,0.117,1.724,0.919,0.375,0.279,0.411,0.215,0.091,0.07
27.65,39.45,0.714,0.386,0.156,0.114,1.741,0.914,0.363,0.267,0.424,0.217,0.091,0.069
27.65,39.55,0.698,0.372,0.147,0.106,1.712,0.886,0.34,0.245,0.433,0.219,0.09,0.067
27.65,39.65,0.746,0.386,0.143,0.102,1.815,0.912,0.328,0.233,0.463,0.228,0.09,0.066
27.65,39.75,0.678,0.361,0.14,0.1,1.665,0.86,0.323,0.229,0.425,0.219,0.089,0.066
27.65,39.85,0.681,0.364,0.143,0.102,1.658,0.863,0.328,0.232,0.417,0.216,0.09,0.066
27.65,39.95,0.692,0.373,0.146,0.103,1.686,0.884,0.334,0.234,0.428,0.222,0.091,0.067
27.65,40.05,0.782,0.414,0.151,0.104,1.904,0.98,0.347,0.238,0.49,0.246,0.095,0.068
27.65,40.15,0.847,0.451,0.156,0.106,2.092,1.079,0.36,0.243,0.541,0.271,0.099,0.07
27.65,40.25,0.827,0.438,0.155,0.107,2.037,1.046,0.358,0.244,0.53,0.267,0.1,0.071
27.65,40.35,0.727,0.39,0.15,0.106,1.779,0.924,0.345,0.242,0.469,0.247,0.1,0.071
27.65,40.45,0.662,0.356,0.15,0.108,1.622,0.854,0.346,0.248,0.451,0.241,0.102,0.073
27.65,40.55,0.699,0.382,0.164,0.119,1.709,0.918,0.388,0.282,0.487,0.26,0.108,0.077
27.65,40.65,0.764,0.444,0.195,0.137,1.905,1.089,0.45,0.315,0.549,0.301,0.12,0.082
27.65,40.75,1.139,0.675,0.249,0.154,2.902,1.654,0.584,0.355,0.768,0.428,0.146,0.087
27.65,40.85,1.139,0.675,0.268,0.154,2.902,1.654,0.615,0.352,0.768,0.428,0.152,0.085
27.65,40.95,0.806,0.469,0.194,0.126,2.039,1.153,0.448,0.295,0.561,0.308,0.117,0.076
27.65,41.05,0.712,0.381,0.148,0.096,1.771,0.922,0.341,0.22,0.469,0.249,0.097,0.064
27.65,41.15,0.69,0.344,0.119,0.076,1.71,0.831,0.282,0.173,0.439,0.223,0.084,0.056
27.65,41.25,0.63,0.305,0.103,0.064,1.562,0.733,0.236,0.149,0.401,0.202,0.077,0.052
27.65,41.35,0.557,0.264,0.088,0.058,1.365,0.628,0.206,0.132,0.357,0.18,0.07,0.048
27.65,41.45,0.485,0.226,0.079,0.054,1.188,0.538,0.18,0.121,0.32,0.163,0.064,0.044
27.65,41.55,0.428,0.198,0.071,0.05,1.044,0.467,0.162,0.113,0.289,0.15,0.06,0.042
27.65,41.65,0.4,0.182,0.065,0.047,0.968,0.428,0.149,0.106,0.266,0.139,0.057,0.04
27.65,41.75,0.374,0.169,0.06,0.043,0.907,0.397,0.136,0.098,0.249,0.13,0.054,0.039
27.65,41.85,0.355,0.158,0.055,0.04,0.86,0.37,0.124,0.089,0.236,0.122,0.05,0.037
27.65,41.95,0.341,0.15,0.051,0.037,0.826,0.349,0.114,0.082,0.224,0.116,0.047,0.034
27.65,42.05,0.328,0.142,0.047,0.034,0.794,0.331,0.106,0.076,0.213,0.109,0.044,0.032
27.65,42.15,0.315,0.134,0.043,0.031,0.76,0.313,0.098,0.07,0.203,0.104,0.041,0.03
27.65,42.25,0.289,0.124,0.041,0.029,0.695,0.289,0.091,0.065,0.193,0.099,0.039,0.028
27.65,42.35,0.278,0.119,0.039,0.028,0.667,0.277,0.087,0.062,0.188,0.095,0.038,0.027
27.65,42.45,0.285,0.12,0.039,0.027,0.682,0.28,0.086,0.06,0.188,0.092,0.035,0.025
27.65,42.55,0.296,0.125,0.039,0.027,0.711,0.292,0.086,0.059,0.191,0.091,0.033,0.023
27.65,42.65,0.314,0.133,0.039,0.026,0.76,0.31,0.088,0.059,0.196,0.087,0.028,0.02
27.65,42.75,0.351,0.144,0.041,0.027,0.848,0.334,0.092,0.061,0.214,0.09,0.028,0.019
27.65,42.85,0.374,0.151,0.043,0.028,0.9,0.353,0.097,0.063,0.224,0.091,0.028,0.019
27.65,42.95,0.365,0.158,0.045,0.029,0.882,0.369,0.103,0.066,0.219,0.092,0.028,0.019
27.75,35.75,0.875,0.504,0.228,0.171,2.043,1.138,0.496,0.376,0.576,0.307,0.124,0.091
27.75,35.85,0.86,0.498,0.225,0.169,2.024,1.132,0.492,0.372,0.565,0.305,0.124,0.091
27.75,35.95,0.824,0.477,0.219,0.165,1.929,1.088,0.477,0.362,0.535,0.293,0.121,0.09
27.75,36.05,0.792,0.456,0.211,0.159,1.845,1.034,0.458,0.348,0.506,0.28,0.117,0.087
27.75,36.15,0.768,0.439,0.203,0.154,1.786,0.991,0.44,0.334,0.485,0.268,0.114,0.085
27.75,36.25,0.763,0.43,0.194,0.149,1.77,0.969,0.426,0.322,0.474,0.259,0.111,0.083
27.75,36.35,0.756,0.421,0.186,0.144,1.754,0.949,0.414,0.312,0.466,0.253,0.108,0.081
27.75,36.45,0.752,0.414,0.181,0.14,1.75,0.938,0.407,0.307,0.465,0.249,0.107,0.08
27.75,36.55,0.77,0.422,0.183,0.141,1.81,0.964,0.413,0.312,0.474,0.251,0.107,0.08
27.75,36.65,0.814,0.445,0.191,0.147,1.938,1.032,0.43,0.323,0.495,0.259,0.108,0.081
27.75,36.75,0.836,0.459,0.197,0.149,2.018,1.079,0.442,0.331,0.514,0.267,0.109,0.082
27.75,36.85,0.863,0.475,0.201,0.15,2.121,1.128,0.452,0.335,0.534,0.276,0.11,0.082
27.75,36.95,0.893,0.491,0.199,0.147,2.214,1.167,0.449,0.329,0.548,0.283,0.11,0.081
27.75,37.05,0.783,0.431,0.18,0.134,1.916,1.026,0.416,0.307,0.482,0.253,0.104,0.077
27.75,37.15,0.753,0.423,0.175,0.127,1.809,0.996,0.406,0.293,0.419,0.227,0.097,0.074
27.75,37.25,0.709,0.4,0.164,0.118,1.706,0.935,0.378,0.272,0.391,0.214,0.092,0.07
27.75,37.35,0.674,0.369,0.152,0.111,1.616,0.863,0.346,0.252,0.378,0.204,0.088,0.067
27.75,37.45,0.606,0.335,0.144,0.107,1.458,0.792,0.328,0.243,0.35,0.195,0.086,0.066
27.75,37.55,0.613,0.335,0.146,0.109,1.496,0.803,0.335,0.251,0.372,0.203,0.088,0.068
27.75,37.65,0.683,0.377,0.161,0.12,1.706,0.914,0.38,0.286,0.423,0.224,0.095,0.073
27.75,37.75,0.842,0.468,0.191,0.14,2.172,1.162,0.449,0.323,0.517,0.272,0.107,0.078
27.75,37.85,1.051,0.57,0.206,0.146,2.651,1.383,0.48,0.336,0.684,0.337,0.113,0.081
27.75,37.95,0.765,0.424,0.174,0.127,1.946,1.047,0.414,0.301,0.482,0.254,0.102,0.076
27.75,38.05,0.616,0.333,0.144,0.108,1.544,0.815,0.336,0.251,0.396,0.21,0.09,0.068
27.75,38.15,0.559,0.302,0.129,0.098,1.38,0.731,0.306,0.228,0.362,0.196,0.085,0.065
27.75,38.25,0.595,0.32,0.133,0.101,1.484,0.781,0.315,0.233,0.385,0.204,0.087,0.066
27.75,38.35,0.72,0.387,0.152,0.11,1.806,0.939,0.357,0.258,0.457,0.233,0.093,0.07
27.75,38.45,0.817,0.441,0.166,0.117,2.08,1.091,0.398,0.281,0.537,0.27,0.101,0.074
27.75,38.55,0.886,0.468,0.169,0.12,2.244,1.146,0.406,0.287,0.566,0.28,0.102,0.074
27.75,38.65,0.743,0.405,0.162,0.117,1.875,0.993,0.389,0.283,0.482,0.244,0.097,0.072
27.75,38.75,0.751,0.401,0.159,0.116,1.874,0.976,0.38,0.278,0.483,0.239,0.095,0.071
27.75,38.85,0.753,0.404,0.16,0.116,1.877,0.981,0.381,0.279,0.477,0.238,0.094,0.07
27.75,38.95,0.759,0.413,0.164,0.118,1.896,1.004,0.392,0.285,0.475,0.24,0.095,0.071
27.75,39.05,0.798,0.435,0.171,0.122,1.993,1.059,0.406,0.292,0.493,0.249,0.097,0.073
27.75,39.15,0.764,0.424,0.172,0.124,1.9,1.026,0.407,0.294,0.46,0.239,0.096,0.072
27.75,39.25,0.725,0.403,0.167,0.122,1.785,0.965,0.396,0.29,0.433,0.226,0.094,0.071
27.75,39.35,0.707,0.39,0.162,0.119,1.726,0.927,0.381,0.283,0.418,0.218,0.092,0.07
27.75,39.45,0.687,0.374,0.154,0.113,1.681,0.89,0.359,0.264,0.416,0.214,0.09,0.068
27.75,39.55,0.688,0.368,0.147,0.106,1.686,0.877,0.338,0.244,0.423,0.216,0.089,0.067
27.75,39.65,0.747,0.382,0.141,0.101,1.811,0.903,0.326,0.232,0.463,0.225,0.089,0.066
27.75,39.75,0.708,0.368,0.138,0.098,1.727,0.871,0.319,0.226,0.439,0.221,0.089,0.065
27.75,39.85,0.639,0.343,0.137,0.098,1.571,0.821,0.317,0.225,0.402,0.211,0.088,0.065
27.75,39.95,0.677,0.362,0.142,0.1,1.649,0.86,0.325,0.228,0.417,0.218,0.09,0.066
27.75,40.05,0.746,0.401,0.149,0.103,1.821,0.948,0.342,0.235,0.466,0.239,0.094,0.068
27.75,40.15,0.84,0.443,0.154,0.106,2.065,1.056,0.356,0.241,0.536,0.266,0.098,0.069
27.75,40.25,0.763,0.413,0.153,0.106,1.873,0.981,0.352,0.242,0.487,0.253,0.099,0.07
27.75,40.35,0.733,0.386,0.148,0.105,1.785,0.913,0.341,0.24,0.472,0.245,0.099,0.07
27.75,40.45,0.659,0.356,0.149,0.108,1.619,0.853,0.344,0.247,0.444,0.239,0.101,0.073
27.75,40.55,0.696,0.378,0.162,0.117,1.7,0.907,0.381,0.277,0.481,0.256,0.107,0.076
27.75,40.65,0.747,0.432,0.188,0.134,1.861,1.054,0.439,0.309,0.533,0.293,0.118,0.081
27.75,40.75,1.11,0.657,0.244,0.153,2.826,1.611,0.573,0.351,0.738,0.414,0.144,0.086
27.75,40.85,1.121,0.658,0.275,0.155,2.831,1.611,0.626,0.355,0.744,0.414,0.154,0.086
27.75,40.95,0.812,0.472,0.196,0.128,2.058,1.161,0.451,0.298,0.563,0.309,0.117,0.076
27.75,41.05,0.692,0.372,0.147,0.097,1.721,0.902,0.339,0.222,0.461,0.247,0.097,0.064
27.75,41.15,0.678,0.339,0.119,0.076,1.679,0.818,0.282,0.175,0.432,0.222,0.085,0.057
27.75,41.25,0.632,0.306,0.103,0.065,1.566,0.734,0.237,0.149,0.401,0.202,0.077,0.052
27.75,41.35,0.561,0.265,0.088,0.058,1.376,0.633,0.207,0.132,0.358,0.181,0.07,0.048
27.75,41.45,0.489,0.228,0.079,0.054,1.196,0.542,0.18,0.12,0.321,0.163,0.064,0.044
27.75,41.55,0.429,0.199,0.071,0.05,1.047,0.469,0.161,0.112,0.29,0.15,0.06,0.042
27.75,41.65,0.402,0.183,0.065,0.046,0.972,0.43,0.149,0.106,0.267,0.139,0.057,0.04
27.75,41.75,0.376,0.17,0.06,0.043,0.91,0.399,0.136,0.098,0.249,0.13,0.054,0.039
27.75,41.85,0.354,0.158,0.055,0.04,0.859,0.371,0.124,0.089,0.236,0.123,0.05,0.036
27.75,41.95,0.338,0.149,0.051,0.037,0.818,0.348,0.114,0.082,0.224,0.116,0.047,0.034
27.75,42.05,0.322,0.141,0.046,0.034,0.779,0.327,0.105,0.075,0.211,0.108,0.043,0.032
27.75,42.15,0.295,0.129,0.043,0.031,0.712,0.301,0.096,0.069,0.199,0.102,0.041,0.03
27.75,42.25,0.281,0.121,0.04,0.029,0.675,0.283,0.09,0.064,0.191,0.098,0.039,0.028
27.75,42.35,0.278,0.118,0.039,0.028,0.665,0.275,0.086,0.061,0.188,0.094,0.037,0.027
27.75,42.45,0.284,0.119,0.038,0.027,0.68,0.278,0.085,0.059,0.187,0.092,0.035,0.025
27.75,42.55,0.295,0.124,0.038,0.026,0.709,0.289,0.085,0.058,0.189,0.09,0.033,0.023
27.75,42.65,0.315,0.132,0.039,0.026,0.762,0.307,0.087,0.058,0.196,0.086,0.028,0.019
27.75,42.75,0.353,0.141,0.04,0.027,0.848,0.328,0.09,0.059,0.213,0.088,0.028,0.019
27.75,42.85,0.356,0.148,0.042,0.028,0.859,0.343,0.095,0.062,0.214,0.089,0.027,0.018
27.85,35.75,0.888,0.514,0.231,0.173,2.102,1.17,0.505,0.381,0.592,0.315,0.126,0.092
27.85,35.85,0.955,0.55,0.237,0.176,2.282,1.253,0.524,0.39,0.628,0.331,0.13,0.094
27.85,35.95,0.864,0.502,0.226,0.169,2.056,1.151,0.497,0.374,0.574,0.311,0.126,0.092
27.85,36.05,0.812,0.469,0.216,0.163,1.903,1.072,0.471,0.357,0.53,0.291,0.121,0.089
27.85,36.15,0.778,0.445,0.206,0.156,1.809,1.009,0.448,0.34,0.498,0.275,0.116,0.086
27.85,36.25,0.753,0.428,0.196,0.15,1.75,0.965,0.429,0.325,0.478,0.262,0.112,0.084
27.85,36.35,0.747,0.418,0.186,0.144,1.732,0.941,0.414,0.313,0.468,0.255,0.109,0.082
27.85,36.45,0.744,0.412,0.181,0.14,1.732,0.93,0.406,0.307,0.465,0.25,0.107,0.08
27.85,36.55,0.764,0.419,0.183,0.141,1.795,0.957,0.412,0.312,0.473,0.251,0.107,0.08
27.85,36.65,0.814,0.443,0.19,0.146,1.932,1.026,0.428,0.322,0.495,0.259,0.108,0.081
27.85,36.75,0.827,0.454,0.195,0.148,1.991,1.065,0.439,0.329,0.506,0.264,0.109,0.082
27.85,36.85,0.863,0.474,0.2,0.149,2.12,1.125,0.45,0.333,0.536,0.276,0.11,0.082
27.85,36.95,0.909,0.497,0.199,0.147,2.26,1.181,0.45,0.329,0.557,0.286,0.11,0.081
27.85,37.05,0.814,0.443,0.181,0.135,2.001,1.056,0.418,0.307,0.51,0.262,0.104,0.077
27.85,37.15,0.75,0.421,0.175,0.127,1.803,0.992,0.405,0.293,0.421,0.229,0.098,0.074
27.85,37.25,0.716,0.399,0.163,0.118,1.715,0.93,0.376,0.272,0.4,0.215,0.092,0.07
27.85,37.35,0.647,0.359,0.15,0.11,1.556,0.843,0.342,0.25,0.363,0.201,0.088,0.067
27.85,37.45,0.597,0.33,0.142,0.106,1.432,0.78,0.324,0.241,0.347,0.194,0.086,0.066
27.85,37.55,0.606,0.332,0.145,0.108,1.48,0.794,0.332,0.249,0.37,0.202,0.088,0.067
27.85,37.65,0.692,0.383,0.162,0.12,1.735,0.929,0.382,0.286,0.431,0.228,0.096,0.073
27.85,37.75,0.934,0.517,0.201,0.144,2.41,1.276,0.468,0.33,0.577,0.299,0.11,0.079
27.85,37.85,1.094,0.594,0.212,0.148,2.762,1.455,0.497,0.342,0.757,0.365,0.117,0.082
27.85,37.95,0.758,0.422,0.174,0.127,1.926,1.041,0.414,0.301,0.479,0.254,0.103,0.076
27.85,38.05,0.605,0.328,0.142,0.107,1.518,0.804,0.332,0.248,0.391,0.209,0.09,0.068
27.85,38.15,0.543,0.294,0.126,0.096,1.342,0.712,0.3,0.225,0.354,0.192,0.084,0.064
27.85,38.25,0.562,0.303,0.128,0.097,1.392,0.735,0.303,0.225,0.366,0.196,0.085,0.064
27.85,38.35,0.629,0.342,0.143,0.105,1.585,0.84,0.334,0.244,0.41,0.216,0.09,0.067
27.85,38.45,0.783,0.423,0.161,0.115,1.982,1.041,0.384,0.272,0.509,0.259,0.099,0.072
27.85,38.55,0.897,0.478,0.171,0.119,2.279,1.17,0.407,0.286,0.57,0.285,0.102,0.074
27.85,38.65,0.762,0.414,0.163,0.117,1.927,1.019,0.392,0.282,0.489,0.248,0.097,0.072
27.85,38.75,0.763,0.404,0.158,0.114,1.898,0.981,0.376,0.273,0.486,0.24,0.094,0.07
27.85,38.85,0.748,0.399,0.158,0.114,1.858,0.966,0.374,0.273,0.474,0.234,0.093,0.069
27.85,38.95,0.748,0.409,0.162,0.117,1.863,0.989,0.386,0.281,0.467,0.237,0.094,0.07
27.85,39.05,0.848,0.46,0.175,0.124,2.114,1.112,0.413,0.294,0.527,0.26,0.098,0.072
27.85,39.15,0.848,0.463,0.179,0.127,2.103,1.116,0.419,0.3,0.517,0.259,0.098,0.073
27.85,39.25,0.792,0.441,0.177,0.127,1.954,1.061,0.415,0.298,0.477,0.246,0.097,0.072
27.85,39.35,0.747,0.415,0.169,0.122,1.829,0.988,0.399,0.29,0.446,0.231,0.094,0.071
27.85,39.45,0.711,0.389,0.158,0.115,1.732,0.921,0.369,0.27,0.423,0.218,0.091,0.069
27.85,39.55,0.668,0.359,0.145,0.105,1.641,0.857,0.335,0.242,0.414,0.213,0.088,0.066
27.85,39.65,0.718,0.373,0.14,0.1,1.75,0.884,0.324,0.23,0.443,0.22,0.088,0.065
27.85,39.75,0.711,0.365,0.136,0.097,1.73,0.865,0.315,0.224,0.44,0.219,0.088,0.065
27.85,39.85,0.624,0.334,0.133,0.096,1.536,0.8,0.309,0.221,0.393,0.208,0.087,0.065
27.85,39.95,0.656,0.349,0.136,0.096,1.6,0.831,0.315,0.222,0.406,0.214,0.089,0.065
27.85,40.05,0.734,0.394,0.147,0.102,1.793,0.93,0.337,0.233,0.457,0.234,0.093,0.067
27.85,40.15,0.781,0.416,0.152,0.105,1.908,0.988,0.349,0.239,0.49,0.25,0.097,0.069
27.85,40.25,0.698,0.383,0.149,0.105,1.72,0.912,0.343,0.239,0.449,0.238,0.097,0.069
27.85,40.35,0.77,0.391,0.148,0.105,1.854,0.922,0.34,0.24,0.492,0.247,0.098,0.07
27.85,40.45,0.683,0.367,0.15,0.108,1.671,0.874,0.346,0.247,0.451,0.241,0.101,0.072
27.85,40.55,0.689,0.374,0.16,0.115,1.685,0.9,0.375,0.27,0.479,0.255,0.107,0.076
27.85,40.65,0.735,0.426,0.185,0.13,1.835,1.04,0.432,0.303,0.53,0.291,0.117,0.08
27.85,40.75,1.074,0.635,0.24,0.152,2.727,1.564,0.566,0.348,0.724,0.406,0.142,0.086
27.85,40.85,1.093,0.64,0.268,0.155,2.759,1.564,0.615,0.355,0.736,0.406,0.153,0.086
27.85,40.95,0.81,0.471,0.196,0.129,2.048,1.157,0.451,0.299,0.566,0.311,0.118,0.077
27.85,41.05,0.645,0.353,0.146,0.096,1.614,0.861,0.334,0.222,0.452,0.244,0.097,0.064
27.85,41.15,0.658,0.33,0.118,0.077,1.631,0.798,0.279,0.175,0.423,0.219,0.085,0.057
27.85,41.25,0.628,0.303,0.103,0.065,1.555,0.727,0.236,0.15,0.398,0.201,0.077,0.052
27.85,41.35,0.56,0.265,0.088,0.058,1.373,0.631,0.207,0.132,0.357,0.18,0.07,0.047
27.85,41.45,0.489,0.228,0.078,0.053,1.195,0.541,0.179,0.119,0.32,0.163,0.064,0.044
27.85,41.55,0.43,0.199,0.071,0.049,1.048,0.469,0.161,0.111,0.29,0.15,0.06,0.042
27.85,41.65,0.402,0.183,0.065,0.046,0.974,0.431,0.149,0.105,0.267,0.139,0.056,0.04
27.85,41.75,0.376,0.171,0.06,0.043,0.912,0.401,0.136,0.097,0.25,0.131,0.054,0.038
27.85,41.85,0.355,0.159,0.055,0.04,0.86,0.373,0.123,0.088,0.237,0.123,0.05,0.036
27.85,41.95,0.333,0.148,0.05,0.036,0.806,0.345,0.112,0.081,0.223,0.115,0.046,0.034
27.85,42.05,0.313,0.138,0.046,0.033,0.756,0.32,0.103,0.075,0.209,0.108,0.043,0.031
27.85,42.15,0.284,0.126,0.042,0.03,0.684,0.293,0.095,0.068,0.195,0.101,0.041,0.029
27.85,42.25,0.274,0.119,0.04,0.029,0.658,0.277,0.089,0.063,0.189,0.097,0.039,0.028
27.85,42.35,0.277,0.117,0.038,0.028,0.663,0.273,0.085,0.06,0.187,0.094,0.037,0.027
27.85,42.45,0.284,0.119,0.038,0.027,0.68,0.277,0.084,0.058,0.186,0.091,0.035,0.025
